Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Class,Transmission Type,Driven_Wheels,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,MSRP,Type,High-Performance,Performance
Acura,ILX Hybrid,2014,0,111,4,Luxury,AUTOMATIC,front wheel drive,"Luxury,Hybrid",Compact,Sedan,38,39,28900,Hybrid,0,0
Acura,ILX Hybrid,2014,0,111,4,Luxury,AUTOMATIC,front wheel drive,"Luxury,Hybrid",Compact,Sedan,38,39,34600,Hybrid,0,0
Acura,ILX,2016,0,201,4,Luxury,AUTOMATED_MANUAL,front wheel drive,Luxury,Compact,Sedan,36,25,34890,Gas,0,0
Acura,ILX,2016,0,201,4,Luxury,AUTOMATED_MANUAL,front wheel drive,Luxury,Compact,Sedan,36,25,29900,Gas,0,0
Acura,ILX,2016,0,201,4,Luxury,AUTOMATED_MANUAL,front wheel drive,Luxury,Compact,Sedan,36,25,29200,Gas,0,0
Acura,ILX,2016,0,201,4,Luxury,AUTOMATED_MANUAL,front wheel drive,Luxury,Compact,Sedan,36,25,31890,Gas,0,0
Acura,ILX,2016,0,201,4,Luxury,AUTOMATED_MANUAL,front wheel drive,Luxury,Compact,Sedan,36,25,32900,Gas,0,0
Acura,ILX,2016,0,201,4,Luxury,AUTOMATED_MANUAL,front wheel drive,Luxury,Compact,Sedan,36,25,27900,Gas,0,0
Acura,ILX,2015,0,150,4,Luxury,AUTOMATIC,front wheel drive,Luxury,Compact,Sedan,35,24,31750,Gas,0,0
Acura,ILX,2015,0,150,4,Luxury,AUTOMATIC,front wheel drive,Luxury,Compact,Sedan,35,24,29350,Gas,0,0
Acura,ILX,2015,0,150,4,Luxury,AUTOMATIC,front wheel drive,Luxury,Compact,Sedan,35,24,27050,Gas,0,0
Acura,TLX,2015,0,206,4,Luxury,AUTOMATED_MANUAL,front wheel drive,Luxury,Midsize,Sedan,35,24,35500,Gas,0,0
Acura,TLX,2015,0,206,4,Luxury,AUTOMATED_MANUAL,front wheel drive,Luxury,Midsize,Sedan,35,24,31445,Gas,0,0
Acura,TLX,2016,0,206,4,Luxury,AUTOMATED_MANUAL,front wheel drive,Luxury,Midsize,Sedan,35,24,35750,Gas,0,0
Acura,TLX,2016,0,206,4,Luxury,AUTOMATED_MANUAL,front wheel drive,Luxury,Midsize,Sedan,35,24,31695,Gas,0,0
Acura,ILX,2017,0,201,4,Luxury,AUTOMATED_MANUAL,front wheel drive,Luxury,Compact,Sedan,35,25,32990,Gas,0,0
Acura,ILX,2017,0,201,4,Luxury,AUTOMATED_MANUAL,front wheel drive,Luxury,Compact,Sedan,35,25,29290,Gas,0,0
